Name|Ingredients|Steps|Time(min)|Difficulty|Tags|Region|Tier
Spaghetti Carbonara|spaghetti, eggs, pancetta, parmesan, pepper|Boil pasta; cook pancetta; mix with eggs and cheese.|25|Medium|Italian, Pasta|Italy|3
Chicken Stir Fry|chicken, soy sauce, garlic, bell pepper, onion, rice|Cook chicken; add vegetables; stir-fry with sauce.|20|Easy|Asian, Quick|China|3
Beef Tacos|beef, taco shells, lettuce, tomato, cheese, salsa|Cook beef; fill shells; add toppings.|15|Easy|Mexican, Snack|Mexico|2
Vegetable Curry|potatoes, carrots, peas, curry paste, coconut milk|Simmer vegetables with curry paste and coconut milk.|40|Medium|Vegetarian, Indian|India|3
Chocolate Cake|flour, cocoa, sugar, eggs, butter, baking powder|Mix ingredients; bake at 350°F for 30 min.|60|Hard|Dessert, Baking|France|5
Tomato Soup|tomatoes, onion, garlic, cream, basil|Blend and simmer ingredients.|30|Easy|Soup, Vegetarian|Italy|2
Garlic Bread|bread, butter, garlic, parsley|Spread garlic butter on bread and bake.|15|Easy|Snack, Italian|Italy|1
Pancakes|flour, eggs, milk, butter, sugar|Mix batter; cook on griddle.|20|Easy|Breakfast, Dessert|USA|2
Grilled Salmon|salmon, lemon, salt, pepper, olive oil|Grill salmon with seasoning.|25|Medium|Seafood, Healthy|Norway|3
Caesar Salad|lettuce, croutons, parmesan, dressing|Toss all ingredients.|10|Easy|Salad, Quick|USA|1
Margherita Pizza|pizza dough, tomato, mozzarella, basil|Assemble and bake at 475°F for 12 min.|45|Medium|Italian, Pizza|Italy|4
Sushi Rolls|sushi rice, nori, cucumber, avocado, salmon|Roll ingredients and slice.|50|Hard|Japanese, Seafood|Japan|5
Pad Thai|rice noodles, shrimp, egg, peanuts, bean sprouts, tamarind|Cook noodles; stir-fry with sauce and ingredients.|35|Medium|Thai, Noodles|Thailand|3
Beef Bourguignon|beef, red wine, carrots, onions, mushrooms|Slow cook beef in wine with vegetables.|180|Hard|French, Stew|France|5
Falafel Wrap|chickpeas, garlic, onion, parsley, pita|Form falafel; fry and wrap in pita with toppings.|30|Medium|Middle Eastern, Vegetarian|Middle East|3
Greek Salad|tomatoes, cucumber, onion, olives, feta|Chop and toss ingredients.|15|Easy|Mediterranean, Salad|Greece|1
Tom Yum Soup|shrimp, mushrooms, lemongrass, lime, chili|Boil ingredients in broth.|25|Medium|Thai, Soup|Thailand|3
